Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Latin America & the Caribbean (IDA & IBRD countries),TLA,186908.748,197653.578,198917.209,203011.038,206165.618,220448.624,239689.74,254905.656,260278.274,248203.528,257723.882,259131.463,252160.345,250113.124,267067.405,273226.087,274666.037,271618.786,275443.036,261441.386,266115.136,270317.75,284536.265,288931.979,288702.995,280071.109,267851.793,245261.879,226382.762,209823.447
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Least developed countries: UN classification,LDC,36991.28692,37811.1676,38947.4862,43125.363,50182.64,53343.616,57911.194,61575.57,65117.547,68873.722,73866.853,79251.639,85227.024,86937.607,93581.258,99838.355,104670.258,107500.757,110840.96,113827.671,121032.671,120802.024,96467.339,102644.072,103763.104,98828.64,95901.041,97730.842,96493.081,96521.524
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Low & middle income,LMY,1481605.82092,1450120.1996,1414351.7402,1429288.797,1425185.336,1464741.287,1480818.326,1484010.075,1500047.088,1530556.617,1588605.397,1612387.855,1630780.61,1749247.021,1849311.724,1938636.196,1995469.01,2052188.862,2084190.99,2071230.797,2177727.247,2218027.891,2231078.032,2234682.371,2247461.634,2241317.054,2241534.533,2303358.996,2380943.979,2404185.685
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Low income,LIC,38610.708,37727.955,36998.751,36983.395,36964.639,36424.324,37968.887,39257.937,40286.399,41219.25,42889.661,47286.612,51555.961,51584.573,56720.353,59209.831,62329.288,64347.342,66819.2,69627.464,72251.719,73763.846,52465.236,55938.733,59220.44,60928.048,60069.583,61906.408,62515.331,63528.566
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Lower middle income,LMC,376083.56892,399065.9246,404323.3812,415513.386,419154.644,431926.493,450042.318,455248.592,450365.467,456869.592,472050.365,475846.426,475501.439,510374.849,528391.16,548124.722,562487.979,571666.945,580715.811,583237.576,602174.634,609901.392,605867.55,597991.407,612450.965,613189.725,641451.16,656418.898,666648.072,641890.553
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Middle East & North Africa,MEA,346262.741,338702.341,351260.341,376122.441,392954.941,404455.441,411324.841,427675.241,443806.141,449255.041,472665.941,462365.341,451360.941,479203.941,499946.001,518977.801,532905.601,537469.201,552420.2,540007.2,560905.2,535515.7,575725.4,552177,550554.2,562453.6,610185.8,640218.1,655060.2,632614.8
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Middle East & North Africa (excluding high income),MNA,265697.8,247918.5,251988.5,272548.3,289624.1,299414.7,303743.4,314954.5,331493.9,341649.8,356606.3,347433.6,338793.5,352458,370112.9,381823.9,393108.9,399716.1,407796.1,405059.3,418312.2,379136.3,413024.1,386610.1,386107.3,393302.9,433570.9,469014.9,480836,459829
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Middle East & North Africa (IDA & IBRD countries),TMN,265697.8,247918.5,251988.5,272548.3,289624.1,299414.7,303743.4,314954.5,331493.9,341649.8,356606.3,347433.6,338793.5,352458,370112.9,381823.9,393108.9,399716.1,407796.1,405059.3,418312.2,379136.3,413024.1,386610.1,386107.3,393302.9,433570.9,469014.9,480836,459829
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Middle income,MIC,1417145.06192,1381710.0556,1342750.4632,1353319.139,1344009.897,1382930.296,1398393.506,1399225.838,1413505.222,1442071.534,1497243.836,1517426.573,1530562.208,1649550.337,1752679.389,1840322.313,1895279.951,1952168.43,1983628.981,1966401.605,2065155.181,2107859.786,2154366.525,2158435.455,2171222.599,2172691.899,2177199.619,2234890.734,2312537.67,2333963.018
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,North America,NAC,284869.1,284193.7,285905.1,282062.9,291257.7,294943.6,297806.2,300037,300517.7,295429.4,297698.2,298187.1,294406.9,293991.2,296605.7,299373,304001.2,311148.3,318377.7,311504.5,328823.1,348520.3,361225.5,372867.9,399119.3,401075.1,383144.2,400949.1,440124.4,474108.2
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,OECD members,OED,426912.399,427059.465,426424.796,425158.508,433536.714,439865.618,447618.63,452758.964,454404.193,449859.922,454368.37,455513.199,451592.802,456173.425,458284.437,463540.311,470511.624,479816.742,488410.203,478858.055,503219.615,519977.401,536501.869,549016.315,573063.524,570077.938,554475.476,571041.191,609528.896,645805.703
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Other small states,OSS,12089.41,13408.233,14389.082,15681.538,17136.428,18012.272,19231.498,22598.641,23793.206,24077.013,25159.451,26856.385,26960.317,30769.48,33373.75,34542.032,35091.155,36040.988,37721.85,37362.01,40489.966,41502.379,42171.311,42578.893,44969.84,43993.041,43534.206,42240.28,41660.554,41400.928
