Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Malta,MLT,154,161,175,182,186,185,188,198,198,211,217,223,230,238,242,256,264,270,192.277,198.343,215.218,195.683,197.241,187.021,200.392,206.532,217.805,217.275,218.093,220.288
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Marshall Islands,MHL,24.528,25.236,25.943,26.651,27.358,28.066,28.417,28.768,29.119,29.47,29.822,29.968,30.114,30.261,30.407,30.553,30.629,30.705,30.781,30.858,30.934,31.052,31.17,31.289,31.407,31.526,31.603,31.68,31.757,31.834
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mauritania,MRT,3987.331,4119.831,4023.707,4153.534,4064.056,4077.408,4331.4,4550.008,4749.825,5040.603,5255.415,5316.195,5376.312,5486.979,5417.833,5497.938,5816.985,5634.57,5155.807,5473.53,5714.454,5767.255,5932.865,6078.221,6292.229,6387.889,6610.534,6636.316,6845.044,7005.431
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mauritius,MUS,901.756,906.707,917.733,927.682,936.873,949.389,1040.508,1131.351,1225.54,1319.049,1413.44,1537.698,1464.263,1510.735,1519.843,1511.675,1592.17,1619.721,1647.42,1673.787,1702.581,1733.643,1765.563,1795.953,1826.533,1858.736,1881.434,1903.873,1927.781,1951.975
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,92537.45,93798.08,93273.18,100791,101562.7,101485.9,102246.3,104873.6,105759.6,104596.9,107597,108146.9,111001.5,115111.2,116207.7,117650.5,120814.8,121778.1,123170.1,123534.4,125168.1,127938.6,127462.3,121283.8,129870.9,137466.6,137737.2,136024.1,137679,138801.4
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Micronesia, Fed. Sts.",FSM,2.686,2.77,2.85,2.92,3,40.9,40.997,41.074,41.105,41.174,41.238,41.318,41.359,41.462,41.5,41.576,41.577,42.181,42.202,44.033,44.044,46.621,46.666,47.995,48.202,48.959,50.112,50.953,51.797,52.576
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Moldova,MDA,5500.249,5525.926,5170.891,4755.847,4997.79,4913.284,4926.838,4404.245,4031.259,4031.163,3861.805,3608.695,3652.255,3701.995,3632.94,3550.5,3437.933,3492.928,3322.558,3244.385,3411.61,3449.046,3435.97,3428.354,3466.287,3469.671,3457.116,3490.836,3447.334,3342.599
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mongolia,MNG,8705.998,8995.138,8732.813,8605.48,8447.688,9110.623,9639.445,10186.4,10473.78,10923.66,11103.71,9493.272,7702.023,7750.047,7408.673,8227.329,9161.577,10484.68,10668.08,10999.47,8937.235,10260.58,11515.27,12402.95,14166.28,15746.57,16785.34,17705.46,17632.39,18792.31
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Montenegro,MNE,953.627,933.025,825.296,823.957,808.312,839.818,840.209,835.007,827.817,790.602,725.297,703.221,695.115,691.029,689.301,698.082,729.863,758.55,784.362,817.6,847.664,814.192,824.527,813.487,817.974,825.949,817.275,812.785,795.123,783.649
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Morocco,MAR,8919.971,8772.491,8632.534,7871.107,8152.048,8190.986,8523.934,8914.058,8895.678,9215.214,9537.63,9553.042,9538.938,9691.197,10197.86,10230.51,10364.56,10296.37,10375.16,10381.5,10611.15,11011.35,11101.53,11292.21,11482.16,11545.46,11673.01,11773.52,11965.49,12159.62
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mozambique,MOZ,9257.175,9643.534,10058.61,10485.48,10888.93,10980.9,10918.7,10296.7,11619.25,11266.4,10857.24,11616.24,12694.93,12857.97,12950.85,14291.81,13781.41,13623.91,14281.57,13051.44,13969.23,14051.1,15177.29,15958.84,16161.17,15682.42,15353.01,16030.84,18500.49,17539.44
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Myanmar,MMR,40492.01,39931.78,42190.83,44077.5,45375.12,46966.12,46416.26,45316.33,46036.27,49512.41,50350.43,51335.28,51849.3,53146.83,55131.73,57783.93,61090.52,62474.01,63308.82,64168.24,65148.68,63279.13,63285.8,64070.43,65076.11,66530.76,67617.98,69766.9,72155.08,73046.18
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Namibia,NAM,4409.575,4584.318,4500.921,4356.674,4340.132,4324.417,4190.253,4110.467,4431.861,4479.592,4932.843,4722.691,4185.646,4445.313,4606.085,4993.238,5470.183,5122.027,4308.705,5655.147,5302.092,7568.354,8292.949,4831.196,4450.296,4333.826,4689.206,4659.174,4238.977,3790.784
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Nauru,NRU,3.451,3.55,3.649,3.748,3.81,3.872,3.906,3.941,3.976,4.011,4.046,4.058,4.07,4.082,4.094,4.106,4.113,4.158,4.203,4.21,4.217,4.223,4.229,4.235,4.242,4.248,4.265,4.271,4.278,4.286
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Nepal,NPL,16310.84,16276.87,15951.16,16522.2,16772.86,17569.5,17834.75,18025.16,18232.26,18477.56,18731.66,18834.04,19112.85,19405.26,19718.1,19978.22,20261.25,20364.7,20995.39,21450.81,21600.08,22026.22,22202.56,22458.19,22630.04,22486.34,22567.51,23165.18,23255.24,23554.56
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Netherlands,NLD,29711.56,30016.87,29541.6,28919.75,28156.24,27446.25,26804.58,25952.06,25093.26,24188.4,23175.09,22583.23,21581.53,20795.13,20420.18,19017.45,18395.03,18205.86,18327.09,18135.39,17986.23,17481.22,17186.37,17272.99,17274.76,17501.45,17440.75,16593.78,15526.27,15535.54
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
